OSM_TYPE,OSM_ID,NAME,LEISURE_TYPE,CATEGORY,SPORT,BRAND,OPERATOR,ADDRESS,PHONE,WEBSITE,OPENING_HOURS,LATITUDE,LONGITUDE
node,6516674044,CrossFit Wolvish,fitness_centre,Fitness Center,,,,145 Loretta Avenue North,,,,45.4042279,-75.7155378
node,6078081535,Crossfit YOW,fitness_centre,Fitness Center,,,,3500 Fallowfield Road,,,,45.2928562,-75.7422882
node,5721516704,Cumberland Martial Arts Academy,fitness_centre,Fitness Center,,,,1970 Trim Road,,,,45.4713412,-75.4553582
way,252466408,CustomStrength,fitness_centre,Fitness Center,,,,151 Holland Avenue,,,,45.3986947,-75.7309646
node,6040708780,Denise Smith Dance Studio,fitness_centre,Fitness Center,dance,,,1140 Tighe Street,,,,45.2253693,-75.6836437
way,593971605,Douvris,fitness_centre,Fitness Center,,,,665 Earl Armstrong Road,,,,45.2701639,-75.696103
node,6135802143,Douvris,fitness_centre,Fitness Center,,,,220 Terence Matthews Crescent,,,,45.2862121,-75.8754873
way,259456329,Douvris Martial Arts,fitness_centre,Fitness Center,,,,1270 Bank Street,,,,45.390477,-75.6800387
node,5606115259,Douvris Martial Arts,fitness_centre,Fitness Center,,,,,,,,45.3809149,-75.7449858
way,478978388,Douvris Martial Arts and Fitness,fitness_centre,Fitness Center,,,,3780 Fallowfield Road,+1-613-410-6325,https://barrhaven.douvris.com/,,45.2871327,-75.757632
node,5893678233,Downsize Fitness Orleans,fitness_centre,Fitness Center,,,,1670 Vimont Court,,,,45.4907783,-75.4853292
node,6427055757,Éconofitness,fitness_centre,Fitness Center,,Éconofitness,,85 Chemin de la Savane,+1-819-205-4493,https://econofitness.ca/fr/gym/outaouais/85-chemin-de-la-savane,"Mo-Fr 06:00-23:00; Sa,Su 08:00-20:00",45.4752393,-75.6953267
node,6591713114,Éconofitness,fitness_centre,Fitness Center,,Éconofitness,,1 Boulevard du Plateau,+1-819-777-3232,https://econofitness.ca/fr/gym/outaouais/1-boul-du-plateau,"Mo-Fr 08:00-21:00; Sa,Su 08:00-17:00",45.4355158,-75.7661364
node,11367867909,Éconofitness,fitness_centre,Fitness Center,,Éconofitness,,320 Boulevard Saint-Joseph,+1-819-525-1845,https://econofitness.ca/fr/gym/outaouais/320-boul-saint-joseph,"24/7 ""Membres Platine et Extra""; Mo-Fr 06:00-23:00 ""Membres Weekend et Écono""; Sa,Su 08:00-20:00 ""Membres Weekend et Écono""",45.4407667,-75.7316753
node,6816047665,Elevate MMA,fitness_centre,Fitness Center,,,,1734 Montréal Road,,,,45.4456082,-75.6099361
way,610253357,Elevate Spin,fitness_centre,Fitness Center,,,,34 Highbury Park Drive,,,,45.277282,-75.7484477
node,5951860118,Elevate Yoga,fitness_centre,Fitness Center,yoga,,,,,,,45.416559,-75.6895425
node,5941745346,Elgin Fitness,fitness_centre,Fitness Center,fitness,,,200 Cooper Street,,,,45.418454,-75.6905034
node,6765212153,Elite Athletic Conditioning,fitness_centre,Fitness Center,,,,,,,,45.490596,-75.4796187
node,6032500301,Elite Performance Athletic Complex,fitness_centre,Fitness Center,,,,93 Hines Road,,,,45.3454082,-75.9247582
node,5887974207,Embrun Family Karate Club,fitness_centre,Fitness Center,martial_arts,,,767 Notre Dame Street,,,,45.2694323,-75.3020901
node,5737565973,Empower Fitness,fitness_centre,Fitness Center,,,,2640 Lancaster Road,,,,45.3984792,-75.6109706
node,5802745477,Empower Me Yoga,fitness_centre,Fitness Center,yoga,,,1712 Carling Avenue,,,,45.3782533,-75.7513399
way,687228245,Endeavour Martial Arts,fitness_centre,Fitness Center,,,,2062 Robertson Road,,,,45.3226803,-75.8305275
way,573385578,Evertrain,fitness_centre,Fitness Center,,,,524 Montréal Road,+1-613-295-8080,https://www.evertrainlifestyles.com/,Mo-Fr 05:30-19:00; Sa 08:00-12:00,45.4405902,-75.6460682
way,591869367,Evo Studio,fitness_centre,Fitness Center,,,,200 Vanguard Drive,,https://evostudio.ca/,,45.4572894,-75.4874102
node,10799577559,Experience MMA & Fitness,fitness_centre,Fitness Center,,,,,,,,45.483215,-75.6616224
way,683614564,F45 Training,fitness_centre,Fitness Center,,F45 Training,,1440 Bank Street,,,,45.3820663,-75.6709609
node,6287480491,Feng Shen Do Kung Fu,fitness_centre,Fitness Center,martial_arts,,,518 Boulevard Maloney Est,,,,45.4845072,-75.6332932
node,5849340761,Final Round Boxing,fitness_centre,Fitness Center,boxing,,,1175 Brookfield Road East,,,,45.374739,-75.6691396
node,5896600040,First Above Fitness,fitness_centre,Fitness Center,fitness,,,1290 Trim Road,,,,45.4895693,-75.4791722
node,5854194489,Fit House,fitness_centre,Fitness Center,fitness,,,46 Colonnade Road,,,,45.3440782,-75.7166858
way,255987938,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,100 Michael Cowpland Drive,,,,45.2857972,-75.869277
way,482693103,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,1525 City Park Drive,,,24/7,45.4315505,-75.6170055
way,576409148,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,Goodlife,1460 Merivale Road,,,,45.3622932,-75.7355997
way,584807281,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,1226 Place-d'Orléans Drive,,,,45.4767228,-75.5230569
node,5539192082,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,2020 Walkley Road,,,,45.3836171,-75.6280675
node,5665250923,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,671 Earl Armstrong Road,,,,45.2704526,-75.6970105
node,6463206495,Fit4Less,fitness_centre,Fitness Center,,Fit4Less,,760 Eagleson Road,,,,45.2831174,-75.866173
node,4514089726,Fitness Fusion Studio,fitness_centre,Fitness Center,,,,333 Cumberland Street,+1-613-680-7276,,,45.4303552,-75.6891543
node,9129413694,Fitness Lab,fitness_centre,Fitness Center,,,,105 Schneider Road,,,,45.3412343,-75.9018583
node,5912767328,Florida Fitness,fitness_centre,Fitness Center,fitness,,,117 Rue Front,,,,45.4039605,-75.8555679
node,5893678240,Flyers Cheer Gym,fitness_centre,Fitness Center,gymnastics,,,1671 Vimont Court,,,,45.4914515,-75.4835308
node,4248524201,Free Form Fitness,fitness_centre,Fitness Center,,,,1198 Wellington Street West,,,Mo-Fr 06:00-20:00,45.4002638,-75.7301241
node,4491333832,Free Form Fitness,fitness_centre,Fitness Center,,,,281 Dalhousie Street,+1-613-695-4348,https://www.freeformfitness.ca/,,45.4299942,-75.6919121
node,5800000111,Free Form Fitness,fitness_centre,Fitness Center,,,,787 Bank Street,,,,45.4032607,-75.6883493
node,5941722841,Free Form Fitness,fitness_centre,Fitness Center,,,,85 Albert Street,,,,45.4220437,-75.6956955
node,6319110213,Free Form Fitness,fitness_centre,Fitness Center,,,,105 Schneider Road,,,,45.341048,-75.9031647
node,6396611585,FRST Fitness,fitness_centre,Fitness Center,,,,1408 Bank Street,,https://www.frstfitness.com,,45.3830772,-75.6715596
node,3690693550,Gaman Karaté-Do,fitness_centre,Fitness Center,martial_arts,,,380 Boulevard Alexandre-Taché,,,,45.4222712,-75.7464975
node,6117193720,GCGC Gymnastics,fitness_centre,Fitness Center,gymnastics,,,5510 Canotek Road,,,,45.457405,-75.5851918
node,5832443340,Get Cronk'd,fitness_centre,Fitness Center,,,,9 Clothier Street East,,,,45.0167037,-75.6476082
way,620180739,Gladiator Strength & Conditioning,fitness_centre,Fitness Center,fitness,,,2950 Bank Street,,,,45.3466524,-75.6265721
node,5674009494,Glebe Pilates,fitness_centre,Fitness Center,,,,829 Bank Street,,,,45.4021366,-75.6877193
way,68587554,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,2655 Queensview Drive,+1-613-820-9531,https://www.goodlifefitness.com/clubs/club.50.html,"Mo 06:00-24:00, Tu-Th 00:00-24:00, Fr 00:00-22:00; Sa-Su07:00-18:00",45.3534505,-75.7869095
way,244442926,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,5 Roydon Place,+1 613-739-4070,https://www.goodlifefitness.com/clubs/club.84.html,24/7,45.3389438,-75.7243798
way,470453273,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,3181 Strandherd Drive,+1-613-843-9327,,24/7,45.273509,-75.7206891
way,477731055,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,1200 St-Laurent Boulevard,+1 613-741-2566,https://www.goodlifefitness.com/clubs/club.233.html,"Mo 06:00-24:00, Tu-Th 00:00-24:00, Fr 00:00-22:00; Sa-Su08:00-18:00",45.4225762,-75.6392553
way,528200987,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,,,,,45.4774634,-75.5152389
way,591059841,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,1600 Heron Road,+1 613-526-0917,https://www.goodlifefitness.com/clubs/club.109.html,24/7,45.3790658,-75.6461293
way,605401293,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,,,,,45.302899,-75.8779337
way,651371828,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,,+1 613-567-0037,https://www.goodlifefitness.com/clubs/club.11.html,Mo-Th 06:00-23:59; Fr 06:00-22:00; Sa 08:30-19:30; Su 08:30-18:30,45.4257216,-75.6912175
way,664940354,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,1777 Tenth Line Road,,,,45.4660898,-75.4891644
way,666462081,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,1100 Carp Road,,,,45.2690293,-75.9419846
node,3632278322,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,900 Exhibition Way,+1-613-238-9668,https://www.goodlifefitness.com/clubs/club.276.html,"Mo 05:00-24:00; Tu-Th 00:00-24:00; Fr 00:00-22:00; Sa, Su 07:00-19:00",45.3991187,-75.68467
node,4393659967,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,199 Queen Street,+1-613-232-7648,https://www.goodlifefitness.com/clubs/club.149.html,24/7,45.4211182,-75.7004394
node,4571287082,GoodLife Fitness,fitness_centre,Fitness Center,,GoodLife Fitness,,,,,,45.4295688,-75.6653305
way,606809604,Gracie Barra,fitness_centre,Fitness Center,,,,1977 St. Joseph Boulevard,,,,45.4649196,-75.5398017
way,248421462,Greco Fitness,fitness_centre,Fitness Center,,,,1224 Place-d'Orléans Drive,,,,45.4767105,-75.5213154
way,258271692,Greco Fitness,fitness_centre,Fitness Center,,,,34 Beech Street,,,,45.4009189,-75.7076883
way,471171504,Greco Fitness,fitness_centre,Fitness Center,fitness,,,1615 Stittsville Main Street,,,,45.2551505,-75.9160575
way,479191242,Greco Fitness,fitness_centre,Fitness Center,,,,3023 Cedarview Road,+1-613-825-0498,http://grecofitness.com/,,45.2659189,-75.7713639
node,5750320346,Greco Fitness,fitness_centre,Fitness Center,,,,100 Schneider Road,,,,45.339085,-75.9033957
node,6041934022,Greco Fitness,fitness_centre,Fitness Center,,,,5700 Longshadow Street,,,,45.2446172,-75.6466386
node,6191487629,Gym Express,fitness_centre,Fitness Center,,,,,,,,45.2960876,-75.2311731
node,11638192111,Gym LaVictoire,fitness_centre,Fitness Center,,,,,,,,45.4737361,-75.7433799
way,182249123,Gym Max,fitness_centre,Fitness Center,,,,105 Rue Bellehumeur,+1-819-246-0496,https://gym-max.com/gym-gatineau,24/7,45.4764333,-75.6915314
node,7039242295,Gyn Maxi-Forme,fitness_centre,Fitness Center,,,,,,,,45.4906647,-75.6853199
node,1658075579,Heritage Community Fitness Center,fitness_centre,Fitness Center,,,,,,,,45.1430735,-76.1279955
node,6144224015,Hiscoe School of Jiu-Jitsu,fitness_centre,Fitness Center,,,,15 Capella Court,,,,45.332156,-75.7060582
node,9278591974,Hollywood Fit,fitness_centre,Fitness Center,,,,,,,,45.1501851,-76.1495381
node,5891250601,Hydrathletics,fitness_centre,Fitness Center,swimming,,,154 Iber Road,,,,45.2742522,-75.9022906
node,6281653438,Hyperforme,fitness_centre,Fitness Center,,,,178 Boulevard Gréber,,,,45.4716901,-75.7018666
node,5750478748,Inner Revolution Yoga Studio,fitness_centre,Fitness Center,yoga,,,700 March Road,,,,45.350462,-75.9241077
node,6052003970,Inner Soul,fitness_centre,Fitness Center,yoga,,,190 Colonnade Road South,,,,45.3420544,-75.7155418
node,5825900102,Iron X Fitness,fitness_centre,Fitness Center,,,,85 Plymouth Street,,,,45.4038136,-75.7020832
node,5887974204,JR Fitness,fitness_centre,Fitness Center,fitness,,,767 Notre Dame Street,,,,45.2692095,-75.301905
node,5804141745,JustFit,fitness_centre,Fitness Center,,,,895 Churchill Avenue South,,,,45.3774662,-75.7450703
way,674473718,K2 Martial Arts,fitness_centre,Fitness Center,,,,1615 Orléans Boulevard,,,,45.4603306,-75.523556
node,5648457038,Kanata Gymnosphere,fitness_centre,Fitness Center,gymnastics,,,430 Hazeldean Road,,https://www.kanatagymnastics.ca/,,45.3008165,-75.8817449
node,6716014950,Karate Cama,fitness_centre,Fitness Center,martial_arts,,,,,,,45.5534061,-75.4351947
node,5809664412,Kemptville Academy of Martial Arts,fitness_centre,Fitness Center,martial_arts,,,125 Prescott Street,,,,45.0157514,-75.6450467
node,6861966366,Krav Maga Ottawa,fitness_centre,Fitness Center,,,,858 Bank Street,,,,45.4011946,-75.687599
node,6764241711,KTK Arts Martiaux,fitness_centre,Fitness Center,martial_arts,,,,,,,45.4474007,-75.7379809
node,6463073843,La Sangha Yoga,fitness_centre,Fitness Center,yoga,,,400 Boulevard Alexandre-Taché,,,,45.4217698,-75.7465696
node,5891250602,Landmark Crossfit,fitness_centre,Fitness Center,fitness,,,154 Iber Road,,,,45.2741145,-75.9024704
node,7131405921,LBR Training,fitness_centre,Fitness Center,,,,66 Main Street,,https://www.lbrtraining.com/,,45.4124384,-75.6801548
node,5893678268,Les Sittelles,fitness_centre,Fitness Center,gymnastics,,,785 Taylor Creek Drive,,,,45.4908432,-75.4873422
way,638613479,LiquidGym,fitness_centre,Fitness Center,,,,34 Stafford Road,,,,45.3297637,-75.822236
node,5866608710,Live By Pilates,fitness_centre,Fitness Center,pilates,,,270 Catherine Street,,,,45.4083528,-75.6939715
node,5834617585,Love To Train Fitness Centre,fitness_centre,Fitness Center,,,,1376 Bank Street,,,,45.3846724,-75.6730751
node,7935191585,Love Your Body Fitness,fitness_centre,Fitness Center,,,,332 Richmond Road,,,"Mo-Th 06:00-21:00; Fr 06:00-20:00; Sa,Su 08:00-16:00",45.3921532,-75.7534256
node,12923855466,Ludens Fitness Studio,fitness_centre,Fitness Center,fitness;yoga,,,393 Codd's Road,,https://www.ludens.fitness/,,45.452486,-75.6337163
way,584505153,M Fitness,fitness_centre,Fitness Center,,,,181 Rue Principale,,,,45.3967888,-75.8368179
node,10095797158,Marshall's integrated fitness,fitness_centre,Fitness Center,,,,,,,,45.4031577,-75.7247919
way,693956407,MassOterra Aylmer,fitness_centre,Fitness Center,yoga,,,140 Rue Principale,,,,45.3944738,-75.8423403
node,6515795264,Metta Movement & Meditation Studio,fitness_centre,Fitness Center,,,,5 Hamilton Avenue North,,,,45.4021394,-75.7308237
node,6769381775,Minto Sports Complex,fitness_centre,Fitness Center,fitness;soccer;basketball;tennis;american_football;volleyball,,,40 Templeton Street,,,Mo-Su 06:00-23:00,45.4205169,-75.6782323
node,6816042891,Mixed Martial Arts,fitness_centre,Fitness Center,,,,,,,,45.368567,-75.948627
node,5689366236,Moda Yoga,fitness_centre,Fitness Center,yoga,,,2442 St. Joseph Boulevard,,,,45.469133,-75.5276169
way,606809596,Monkeybar Fitness,fitness_centre,Fitness Center,,,,2034 St. Joseph Boulevard,,,,45.4649695,-75.5370965
node,6747817894,Motion by Design,fitness_centre,Fitness Center,,,,1125 Wellington Street West,,,"""by appointment""",45.4022561,-75.7265184
way,478968909,Mountaingoat Yoga,fitness_centre,Fitness Center,yoga,,,3350 Fallowfield Road,+1-613-823-3949,https://mountaingoatyoga.com/,,45.2968821,-75.7335962
node,6015802200,Moussignac Studio,fitness_centre,Fitness Center,yoga,,,369 Lacasse Avenue,,,,45.4318658,-75.656066
way,209259333,Movati,fitness_centre,Fitness Center,,,,195 Trainyards Drive,,,,45.4121444,-75.6398902
