OBJECTID,BOARD,CATEGORY,NAME,NUM,STREET,PHONE,FULL_BOARD,CATEGORY_FR,BOARD_FR,NAME_FR,FULL_BOARD_FR,GlobalID,LONGITUDE,LATITUDE
4823,OCSB,Secondary,St. Joseph High School,3333,ch. Greenbank Road,613-823-4797,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire St. Joseph,Ottawa Catholic School Board,{AA0DD0A0-54B7-4AA9-81CA-0A33ED1807B5},-75.74091597542113,45.26262918000597
4824,OCSB,Secondary,Immaculata High School,140,rue Main St,613-237-2001,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire Immaculata,Ottawa Catholic School Board,{B7BB0143-C382-4F20-BE42-349BCDAD0112},-75.6805832892748,45.41033925399169
4825,OCSB,Elementary,Chapel Hill Catholic School,1534,prom. Forest Valley Dr,613-837-3773,Ottawa Catholic School Board,Élémentaire,OCSB,École catholique Chapel Hill,Ottawa Catholic School Board,{3A0B46A3-F6A9-4EF5-884A-4C58253AB5AB},-75.54046878651477,45.451926866171284
4826,OCSB,Elementary,Convent Glen Catholic School,6212,boul. Jeanne D'arc Blvd,613-824-8541,Ottawa Catholic School Board,Élémentaire,OCSB,École catholique Convent Glen,Ottawa Catholic School Board,{4C73B76A-981C-4540-936C-72C4C8F9986F},-75.54752514469968,45.473293943887626
4827,OCSB,Elementary,Corpus Christi School,798,rue Lyon St South,613-232-9743,Ottawa Catholic School Board,Élémentaire,OCSB,École Corpus Christi,Ottawa Catholic School Board,{55B2095F-891B-48AE-877F-442D990E77AA},-75.69092992930875,45.401470585597586
4828,OCSB,Elementary,St. Francis of Assisi School,795,ch. Watters Rd,613-830-3215,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Francis-of-Assisi,Ottawa Catholic School Board,{5885668E-7F55-471A-831D-69470AEC129A},-75.47973872790755,45.478913247289306
4829,OCSB,Elementary,St. Gabriel School,400,prom. Keyrock Dr,613-271-6181,Ottawa Catholic School Board,Élémentaire,OCSB,École St.Gabriel,Ottawa Catholic School Board,{22906226-5F0B-4597-BCF2-53E97620D1A6},-75.93051253797813,45.324661528863544
4830,OCSB,Elementary,St. Gemma School,1760,av. McMaster Ave,613-731-8841,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Gemma,Ottawa Catholic School Board,{C299EBE2-B592-439E-AE25-C3DC50EE94E9},-75.64669684878608,45.38673925180015
4831,OCSB,Elementary,St. Isabel School,785,ch. Goulbourn Forced Road,613-271-9542,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Isabel,Ottawa Catholic School Board,{5E3540B5-3F29-43F8-A355-646F53BBC278},-75.94108213357738,45.33688582338989
4832,OCSB,Elementary,St. James School,50,prom. Stonehaven Dr,613-599-6600,Ottawa Catholic School Board,Élémentaire,OCSB,École St. James,Ottawa Catholic School Board,{A314E7D6-5258-48DA-9DCB-F412DC8CE98F},-75.86087315007977,45.29124726886686
4833,OCSB,Elementary,St. Jerome School,4330,ch. Spratt Rd,613-822-1116,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Jerome,Ottawa Catholic School Board,{7447A1DF-7C03-4D03-A879-7D8B552C08A1},-75.68968371358308,45.27672586853806
4834,OCSB,Elementary,St. John XXIII School,165,ch. Knoxdale Rd,613-226-6223,Ottawa Catholic School Board,Élémentaire,OCSB,École St. John-XXIII,Ottawa Catholic School Board,{C7CA0836-0830-4746-B906-D876FAC1FAE6},-75.76864583726295,45.32787042409866
4835,OCSB,Elementary,St. John the Apostle School,30,av. Costello Ave,613-828-0644,Ottawa Catholic School Board,Élémentaire,OCSB,École St. John the Apostle,Ottawa Catholic School Board,{8DC4A4CE-A5FE-4A9A-9141-D58CB0382B68},-75.7935622492968,45.33390290167492
4836,OCSB,Elementary,Divine Infant School,8100,boul. Jeanne D'arc Blvd,613-824-1060,Ottawa Catholic School Board,Élémentaire,OCSB,École Divine Infant,Ottawa Catholic School Board,{49F2BC54-B453-40DF-B463-67D9C4F886E9},-75.51359049522293,45.486680267485255
4837,OCSB,Intermediate,Frank Ryan Catholic Intermediate School,128,prom. Chesterton Dr,613-224-8833,Ottawa Catholic School Board,Intermédiaire,OCSB,École catholique de l’intermédiaire Frank Ryan,Ottawa Catholic School Board,{F42BA535-3E91-46B9-9C7D-38F1438C7459},-75.72226418959994,45.35172582044085
4838,OCSB,Elementary,Georges Vanier Catholic School,40,prom. Varley Dr,613-592-4371,Ottawa Catholic School Board,Élémentaire,OCSB,École catholique Georges Vanier,Ottawa Catholic School Board,{2238004E-CC96-4226-88A2-C34E87B90586},-75.9072713959143,45.3322171944677
4839,OCSB,Elementary,Guardian Angels School,4,prom. Baywood Dr,613-836-7423,Ottawa Catholic School Board,Élémentaire,OCSB,École Guardian Angels,Ottawa Catholic School Board,{1F5CD86C-439C-4547-99B7-BB39C12177B9},-75.90621462500059,45.24889718583784
4840,OCSB,Elementary,Holy Cross School,2820,prom. Springland Dr,613-733-5887,Ottawa Catholic School Board,Élémentaire,OCSB,École Holy Cross,Ottawa Catholic School Board,{623A0D66-3A65-48CA-BA5C-15E4B587B8F5},-75.68501237618929,45.363298889513956
4841,OCSB,Elementary,Holy Family School,245,prom. Owl Dr,613-521-0475,Ottawa Catholic School Board,Élémentaire,OCSB,École Holy Family,Ottawa Catholic School Board,{DD48FB59-3597-4F38-8D5C-9A1D2E9C67D0},-75.66323814525519,45.35353119195994
4842,OCSB,Elementary,Holy Redeemer School,75,prom. McCurdy Dr,613-591-3256,Ottawa Catholic School Board,Élémentaire,OCSB,École Holy Redeemer,Ottawa Catholic School Board,{B2FEA3F4-B275-4F62-A96E-943C5F381EB1},-75.90003041327725,45.302963364932104
4843,OCSB,Elementary,Holy Spirit School,1383,rue Stittsville Main St,613-831-1853,Ottawa Catholic School Board,Élémentaire,OCSB,École Holy Spirit,Ottawa Catholic School Board,{2A273619-E854-451B-9BBB-722C72D6AD46},-75.92592868481492,45.26387185670019
4844,OCSB,Elementary/Secondary,Lester B. Pearson Catholic High School,2072,crois. Jasmine  Cr,613-741-4525,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire catholique Lester B. Pearson,Ottawa Catholic School Board,{8B7E3BB5-6AAB-4BFD-94FD-CD52B372B592},-75.59593556287172,45.44348211382835
4845,OCSB,Elementary,St. Martin de Porres School,20,prom. Mckitrick Dr,613-836-4754,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Martin de Porres,Ottawa Catholic School Board,{B0A91DF6-B8B5-453B-B6C5-8A51F4A3B1C3},-75.8843775829635,45.29258377137534
4846,OCSB,Elementary,St. Mary School,5536,rue Bank St,613-822-2985,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Mary,Ottawa Catholic School Board,{8260982A-E40F-431F-917F-C1DF6BCD1379},-75.57115209431343,45.279917970949334
4847,OCSB,Elementary/Secondary,St. Matthew High School,6550,prom. Bilberry Dr,613-837-3161,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire St. Matthew,Ottawa Catholic School Board,{D2C14A80-6480-4C16-AA28-19B7E749D9DE},-75.53254150806865,45.4803468905286
4848,OCSB,Elementary,St. Monica School,2000,ch. Merivale Rd,613-226-5174,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Monica,Ottawa Catholic School Board,{7B301F7E-8836-416E-A6AE-E5C389276C55},-75.71810986858478,45.322622941873085
4849,OCSB,Elementary/Secondary,St. Mother Teresa High School,440,prom. Longfields Dr,613-823-1663,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire St. Mother Teresa,Ottawa Catholic School Board,{52841279-6DD0-48A8-8971-F5C077E4CCA7},-75.7394172899815,45.28498724749651
4850,OCSB,Secondary,Sacred Heart High School,5870,rue Abbott St,613-831-6643,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire Sacred Heart,Ottawa Catholic School Board,{BC9330BB-8114-4053-A18E-EB54FA238AD9},-75.91011755068685,45.26368197161011
4851,OCSB,Elementary,St. Anthony School,391,rue Booth St,613-235-0340,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Anthony,Ottawa Catholic School Board,{9A0FDBEB-1F7A-4377-97FC-5A9964370A0C},-75.70841204125637,45.40631384593108
4852,OCSB,Elementary,St. Patrick School,68,prom. Larkin Dr,613-825-4012,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Patrick ,Ottawa Catholic School Board,{019F2437-25EC-47CC-8472-B18464406A0E},-75.76083313982963,45.283537020186245
4853,OCSB,Secondary,St. Patrick's High School,2525,prom. Alta Vista Dr,613-733-0501,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire St. Patrick's,Ottawa Catholic School Board,{01A1224E-E40A-4BC4-8C95-8507C8C24264},-75.66005903890571,45.37823990626085
4854,OCSB,Elementary/Secondary,St. Paul High School,2675,av. Draper Av,613-820-9705,Ottawa Catholic School Board,Élémentaire/Secondaire,OCSB,École secondaire St. Paul,Ottawa Catholic School Board,{33C8CBA4-730D-48AC-9F53-5CDFDBE78A02},-75.79266646995671,45.34173335767676
4855,OCSB,Elementary,St. Rose of Lima School,50,prom. Bayshore Dr,613-828-5158,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Rose of Lima,Ottawa Catholic School Board,{D8D3E35E-113D-4F8C-8CCA-CCEEB65CE0FD},-75.80685656361184,45.350685290823726
4856,OCSB,Special Education,M.F. McHugh Education Centre,437,rue Donald St,613-747-6885,Ottawa Catholic School Board,Éducation Spéciale,OCSB,Centre éducatif M.F. McHugh,Ottawa Catholic School Board,{D6593E30-E2D5-4E7C-BF62-37C41D37B2F4},-75.64855361886765,45.42915938127089
4857,OCSB,Elementary,Monsignor Paul Baxter School,333,prom. Beatrice Dr.,613-825-7544,Ottawa Catholic School Board,Élémentaire,OCSB,École Monsignor Paul Baxter,Ottawa Catholic School Board,{4C7D57C0-A857-4924-9AC8-9AC338F0E0F6},-75.72850803778005,45.28087610481096
4858,OCSB,Secondary,Notre Dame High School,710,av. Broadview Ave,613-722-6565,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire Notre-Dame,Ottawa Catholic School Board,{90E26406-1DBD-445D-A904-0D04EE7E5A9E},-75.75623216028553,45.378703830267874
4859,OCSB,Elementary,St. Daniel School,1313,rue Field St,613-225-4603,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Daniel,Ottawa Catholic School Board,{607961AA-9A04-470F-B585-871E4C24A486},-75.76299895462346,45.35448351790038
4860,OCSB,Elementary,St. Elizabeth School,1366,av. Coldrey Ave,613-728-4744,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Elizabeth,Ottawa Catholic School Board,{24EA0FD0-DB66-4F05-B1B3-833507EE8355},-75.7365198935085,45.38195332941933
4861,OCSB,Elementary,St. Cecilia School,3490,ch. Cambrian Rd,613-692-6164,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Cecilia,Ottawa Catholic School Board,{3A065298-71C0-4606-98F7-D73A3C7C71A0},-75.73212777316627,45.25410030716505
4862,OCSB,Elementary,St. John Paul II School,1500,prom. Beaverpond Dr,613-744-3591,Ottawa Catholic School Board,Élémentaire,OCSB,École St. John-Paul II,Ottawa Catholic School Board,{AF2BB8E1-B82E-4361-A0C6-F7065772BE6A},-75.60162529874354,45.422558438642696
4863,OCSB,Elementary,St. Theresa School,2000,boul. Portobello Blvd,613-837-4114,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Theresa,Ottawa Catholic School Board,{B677FA61-D6A9-4F8B-9D7A-1729808B7383},-75.46731948407032,45.463659347950674
4864,OCSB,Elementary,St. Benedict School,2525,ch. River Mist Rd,613-692-1005,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Benedict,Ottawa Catholic School Board,{7BF27695-DA7A-41D6-AE94-9BC5F352792D},-75.73513454581331,45.241649268851816
4865,OCSB,Elementary,St. Bernard School,1722,rue St. Bernard St,613-521-5894,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Bernard,Ottawa Catholic School Board,{FD35651D-FB06-4509-AD7A-1172328110DE},-75.62492063886341,45.351298152195746
4866,OCSB,Elementary,St. Brigid School,200,ch. Springfield Rd,613-746-4888,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Brigid,Ottawa Catholic School Board,{B263D323-8DD8-42F4-9BFD-818903D11C8E},-75.67839463122162,45.445784863843635
4867,OCSB,Elementary,St. Catherine School,2717,ch. 8th Line Rd,613-821-1002,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Catherine,Ottawa Catholic School Board,{8D76099D-ECB0-44F6-92EE-11A83F0A9E91},-75.47039685082395,45.232850693930196
4868,OCSB,Elementary,St. Clare School,2133,prom. Gardenway Dr,613-834-6334,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Clare,Ottawa Catholic School Board,{AE6350F9-7F85-4CE1-A89B-B277A4193C8D},-75.47444611835822,45.46931971655021
4869,OCSB,Elementary,St. Dominic School,2300,prom. Esprit Dr,613-424-3760,Ottawa Catholic School Board,Élémentaire,OCSB,École St. Dominic,Ottawa Catholic School Board,{39921EDE-D39F-4791-891D-1FE600C48870},-75.46988177929794,45.45092224693615
4870,OCSB,Secondary,St. Francis Xavier High School,3740,ch.Spratt Rd,613-822-7900,Ottawa Catholic School Board,Secondaire,OCSB,École secondaire St. Francis-Xavier,Ottawa Catholic School Board,{6873F960-1587-45AE-A06A-6958A8BC2B01},-75.66894927809876,45.290578659479586
4871,OCSB,Elementary,Thomas D'Arcy McGee Catholic School,635,prom. La Verendrye Dr,613-749-2251,Ottawa Catholic School Board,Élémentaire,OCSB,École catholique Thomas D'Arcy McGee,Ottawa Catholic School Board,{583B4373-1DA9-4DFB-ACAC-FBB3F263D3CE},-75.60434690300028,45.45414598584632
4872,OCDSB,Elementary,Farley Mowat Public School,75,prom. Waterbridge Dr,613-825-3006,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Farley Mowat,Ottawa-Carleton District School Board,{83D1FF49-A318-45B1-BAB1-0D7C771E15EE},-75.70861716705991,45.2820017726888
4873,OCDSB,Intermediate,Henry Munro Middle School,2105,av. Kender Ave,613-748-0060,Ottawa-Carleton District School Board,Intermédiaire,OCDSB,École intermédiaire Henry Munro,Ottawa-Carleton District School Board,{BF8FD051-7607-4A9E-9EF6-0FF04F7D2F41},-75.5963235443446,45.45793895592978
4874,OCDSB,Elementary,Featherston Drive Public School,1801,prom. Featherston Dr,613-731-3357,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique de la promenade Featherston,Ottawa-Carleton District School Board,{1BDC8B3B-DC16-45FC-9E3E-EC034B30FEC9},-75.64574845152657,45.383710202330974
4875,OCDSB,Elementary,Viscount Alexander Public School,55,av. Mann Ave,613-239-2213,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Viscount Alexander,Ottawa-Carleton District School Board,{544397B0-BEB9-432D-9CF5-BDEC4049CEFA},-75.67503052312762,45.420256684001515
4876,OCDSB,Elementary,Knoxdale Public School,170,ch. Greenbank Rd,613-828-0010,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Knoxdale,Ottawa-Carleton District School Board,{5F68204B-DF05-41EB-B003-56EC903C1FB1},-75.78168899070943,45.32808633747362
4877,OCDSB,Elementary,Chapman Mills Public School,260,man Leamington Way,613-823-3336,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Chapman Mills,Ottawa-Carleton District School Board,{7F5274B2-6F82-4A5C-8168-F2DA12F982ED},-75.73092134831612,45.26863504139052
4878,OCDSB,Elementary,Berrigan Elementary School,199,prom. Berrigan Dr,613-825-0092,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École élémentaire Berrigan,Ottawa-Carleton District School Board,{158277B5-6137-4A16-830B-49A547AF8245},-75.73813522788272,45.28045430836844
4879,OCDSB,Elementary,Castlefrank Elementary School,55,prom. McCurdy Dr,613-592-8071,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École élémentaire Castlefrank,Ottawa-Carleton District School Board,{9823BA4B-9896-4F13-BDB0-E64B7D734857},-75.89784497568436,45.30517975970113
4880,OCDSB,Elementary,Blossom Park Public School,3810,rue Sixth St,613-521-4299,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Blossom Park,Ottawa-Carleton District School Board,{3911C645-B01E-4AD9-9BFA-D1F9E017890F},-75.62357418911834,45.35076182578469
4881,OCDSB,Elementary,Elgin Street Public School,310,rue Elgin St,613-239-2231,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique de la rue Elgin,Ottawa-Carleton District School Board,{30E84698-FB08-46D6-BA0D-48A86C94B235},-75.68969693408911,45.41613625785902
4882,OCDSB,Elementary,W.O. Mitchell Elementary School,80,prom. Steeple Chase Dr,613-271-1806,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École élémentaire W.O. Mitchell,Ottawa-Carleton District School Board,{435E89A1-FBFE-4139-9CBA-A3B698691BDA},-75.85709124363196,45.29937759635691
4883,OCDSB,Elementary,Glen Ogilvie Public School,46,prom. Centre Park Dr,613-824-4014,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Glen Ogilvie,Ottawa-Carleton District School Board,{ADFCBDD3-BD36-4B22-B6AC-279BD31318EB},-75.57065952378862,45.43471267312888
4884,OCDSB,Elementary,Richmond Public School,3499,rue McBean St,613-838-2371,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Richmond,Ottawa-Carleton District School Board,{605D06C1-500B-4FB4-8E06-7E86BA420621},-75.83544491662461,45.1920207893207
4885,OCDSB,Elementary,Stephen Leacock Public School,25,prom. Leacock Dr,613-592-2261,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Stephen Leacock,Ottawa-Carleton District School Board,{2372A766-CE3A-4EDA-8678-42AC783D9501},-75.90258783963603,45.32507857603287
4886,OCDSB,Elementary,W. Erskine Johnston Public School,50,prom. Varley Dr,613-592-4492,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique W. Erskine Johnston,Ottawa-Carleton District School Board,{5D431307-9609-4EDD-B67A-3AB0A9A43ABF},-75.9091329989321,45.33286727202538
4887,OCDSB,Elementary,Glen Cairn Public School,182,ch. Morrena Rd,613-836-2342,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Glen Cairn,Ottawa-Carleton District School Board,{93012336-440F-4804-B6DB-5BA0D21EF8E6},-75.88418610706069,45.29650118829002
4888,OCDSB,Elementary,Manor Park Public School,100,rue Braemar St,613-746-8131,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Manor Park ,Ottawa-Carleton District School Board,{BF73583C-8C02-40B2-AE23-F92F35D9190B},-75.65587932072084,45.44993704067703
4889,OCDSB,Elementary,Maple Ridge Elementary School,1000,rue Valin St,613-834-1927,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École élémentaire Maple Ridge,Ottawa-Carleton District School Board,{26381143-A1FD-4D33-9A30-FED4A8C7A287},-75.46154245890233,45.47093010829749
4890,OCDSB,Elementary,General Vanier Public School,1025,av. Harkness Ave,613-731-3631,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Général Vanier,Ottawa-Carleton District School Board,{8AF7AC34-DE04-4C0B-8054-6E5C6A536B08},-75.67480957889022,45.36768903564203
4891,OCDSB,Elementary,Jack Donohue Public School,101,rue Penrith St,613-271-9776,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Jack Donohue,Ottawa-Carleton District School Board,{502EE047-23F8-4A2C-AC4B-40328D023E20},-75.94197233078629,45.35375299447341
4892,OCDSB,Secondary,John McCrae Secondary School,103,prom. Malvern Dr,613-823-0367,Ottawa-Carleton District School Board,Secondaire,OCDSB,École secondaire John McCrae,Ottawa-Carleton District School Board,{9BD9FA26-18DD-4C86-BC77-2A17178214DC},-75.762284407697,45.27927172576785
4893,OCDSB,Elementary,South March Public School,1032,ch. Klondike Rd,613-595-0543,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique South March,Ottawa-Carleton District School Board,{6BF51E52-039C-4873-B468-660387C7BA34},-75.92759076033,45.3573010719769
4894,OCDSB,Elementary,Westwind Public School,111,prom. Hartsmere Dr,613-831-7840,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Westwind,Ottawa-Carleton District School Board,{092B47C3-EFBB-45F0-A610-66CE5C6E04ED},-75.90698713841569,45.24661117030955
4895,OCDSB,Elementary,Connaught Public School,1149,av. Gladstone Ave,613-728-4671,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Connaught,Ottawa-Carleton District School Board,{559B9C1B-2628-4A5D-A181-DCEC879D189F},-75.7259138191222,45.40041027979558
4896,OCDSB,Elementary,Robert Bateman Public School,1250,prom. Blohm Dr,613-737-3169,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Robert Bateman ,Ottawa-Carleton District School Board,{A4DF10E8-8E76-4EE0-BD8E-D82637F260E3},-75.62034087123813,45.368614038177434
4897,OCDSB,Elementary,Mary Honeywell Elementary School,54,prom. Kennevale Dr,613-825-4834,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École élémentaire Mary Honeywell,Ottawa-Carleton District School Board,{7868E05C-D31F-4682-9A87-2642C7E7CE34},-75.76714209340996,45.26890198034034
4898,OCDSB,Elementary,Osgoode Public School,5590,"rue Osgoode Main St, Box 70",613-826-2550,Ottawa-Carleton District School Board,Élémentaire,OCDSB,École publique Osgoode ,Ottawa-Carleton District School Board,{0A521FCC-FD28-4D70-94A4-62CD8108021C},-75.60508472437742,45.145951325510836
