OBJECTID,PARK_ID,NAME,NAME_FR,ADDRESS,ADDRESS_FR,PARK_TYPE,PARK_TYPE_FR,DOG_DESIGNATION,DOG_DESIGNATION_FR,WATERBODY_ACCESS,WARD,WARD_NAME,WARD_NAME_FR,PARK_DEDICATION_STATUS,ACCESSIBLE,OPEN,LATITUDE,LONGITUDE,SAP_FLOC,MODIFIED_DATE,CREATED_DATE,DOG_DESIGNATION_DETAILS,DOG_DESIGNATION_DETAILS_FR,Shape_Length,Shape_Area,SAP_ID,PARK_CATEGORY,PARK_CATEGORY_FR
11,810,Elisha Scharf Park,Parc Elisha-Scharf,"30 Penfield Drive, Kanata","30, promenade Penfield, Kanata",Passive Recreation,Loisirs passifs,1,1,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.32590116,-75.89177893,R-PKS-005-0283,1668470748000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,632.3866234619551,3461.04179812,283,Urban Parkette,Miniparc urbain
12,981,Seabrooke Park,Parc Seabrooke,"90 Seabrooke Drive, Kanata","90, promenade Seabrooke, Kanata",Passive Recreation,Loisirs passifs,0,0,no/non,23,Kanata South,Kanata-Sud,0,no/non,,45.294935100000004,-75.89265226,R-PKS-019-0853,1668470890000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,317.77383849687993,1981.408986465,853,Urban Plaza,Place urbaine
13,1504,Sheperds Grove Park,Parc Sheperds Grove,"3825 Stonecrest Road, West Carleton","3825, chemin Stonecrest, West Carleton",Active Recreation,Loisirs dynamiques,4,4,no/non,5,West Carleton-March,West Carleton-March,0,no/non,,45.43755702,-76.11737332,R-PKS-019-0863,1668472164000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,1461.5556973252878,36085.631953134995,863,Neighbourhood Park,Parc de quartier
14,789,Owlshead Park,Parc Owlshead,"14 Owlshead Road, Goulbourn","14, chemin Owlshead, Goulbourn",Passive Recreation,Loisirs passifs,0,0,no/non,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.1662616,-75.94310692,R-PKS-015-0702,1668470744000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,719.8088410193035,4757.27930135,702,Parkette,Miniparc
15,752,Munster North Park,Parc Munster Nord,"2778 Munster Road, Goulbourn","2778, chemin Munster, Goulbourn",Active Recreation,Loisirs dynamiques,4,4,no/non,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.16768652,-75.94568074,R-PKS-013-0637,1668472039000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,1286.9558593699346,36667.60896969,637,Community Park,Parc communautaire
16,692,Hemlock Park,Parc Hemlock,"361 Meadow Park Place, Ottawa","361, place Meadow Park, Ottawa",Active Recreation,Loisirs dynamiques,0,0,no/non,13,Rideau-Rockcliffe,Rideau-Rockcliffe,0,no/non,,45.44928553,-75.64988263,R-PKS-008-0420,1668471935000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,657.2955413897924,11336.827607025,420,Parkette,Miniparc
17,1580,Escarpment Park (Chimo),Parc de l'Escarpement (Chimo),"111 Chimo Drive, Kanata","111, promenade Chimo, Kanata",Passive Recreation,Loisirs passifs,0,0,no/non,23,Kanata South,Kanata-Sud,0,no/non,,45.30849113,-75.89443209,R-PKS-005-0292,1668472341000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,2409.928098861989,15314.967180225001,292,Linear Park,Parc linéaire
18,85,Beaufort Park,Parc Beaufort,"56 Beaufort Drive, Kanata","56, promenade Beaufort, Kanata",Passive Recreation,Loisirs passifs,0,0,no/non,23,Kanata South,Kanata-Sud,4,no/non,,45.31162082,-75.89295349,R-PKS-002-0072,1668471815000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,648.6106434307065,5225.70899355,72,Greenspace,Espace vert
19,440,John Gooch Park,Parc John-Gooch,"161 Goldridge Drive, Kanata","161, promenade Goldridge, Kanata",Active Recreation,Loisirs dynamiques,0,0,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.31421789,-75.92865481,R-PKS-010-0471,1668471942000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,1534.4992666343817,23208.27430145,471,Neighbourhood Park,Parc de quartier
20,696,Meadowbrook Park (Gloucester),Parc Meadowbrook (Gloucester),"1485 Meadowbrook Road, Gloucester","1485, chemin Meadowbrook, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,0,no/non,,45.42158212,-75.61228879,R-PKS-013-0604,1668471591000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,963.4806837617243,22482.418729525,604,Neighbourhood Park,Parc de quartier
21,155,Harold Diceman Park,Parc Harold-Diceman,"30 Diceman Crescent, Gloucester","30, croissant Diceman, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,2,Orléans West-Innes,Orléans-Ouest-Innes,0,no/non,,45.43737197,-75.56208704,R-PKS-008-0405,1668470762000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1545.5047240620374,13748.37342634,405,Neighbourhood Park,Parc de quartier
22,297,Craighurst Drive Park,Parc de la promenade Craighurst,"6567 Craighurst Drive, Rideau","6567, promenade Craighurst, Rideau",Passive Recreation,Loisirs passifs,4,4,no/non,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.131586999999996,-75.7230122,R-PKS-003-0220,1668471004000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,390.3082660257915,4765.078695855,220,Parkette,Miniparc
23,857,Cumberland Village Heritage Museum,Musée-village du patrimoine de Cumberland,"2940 Old Montreal Road, Cumberland","2940, chemin Old Montreal, Cumberland",Passive Recreation,Loisirs passifs,0,0,yes/oui,1,Orléans East-Cumberland,Orléans-Est-Cumberland,0,no/non,,45.51515374,-75.38761164,R-PKS-003-0227,1668471398000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,4835.60961482407,376319.54182937497,227,District Park,Parc de district
24,463,Pat Clark Community Centre,Centre communautaire Pat-Clark,"4355 Halmont Drive, Gloucester","4355, promenade Halmont, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,0,no/non,,45.42865047,-75.6198023,R-PKS-003-0233,1668470731000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,580.8400291750291,5854.44127816,233,Parkette,Miniparc
25,114,Gloucester Hydro Park,Parc Gloucester Hydro,"1078 Blair Road, Gloucester","1078, chemin Blair, Gloucester",Passive Recreation,Loisirs passifs,1,1,no/non,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,0,no/non,,45.43545594,-75.60951301,R-PKS-007-0365,1668470800000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,188.86113884340108,1037.94194734,365,Urban Plaza,Place urbaine
26,740,Naskapi Ridge Park,Parc  Naskapi Ridge,"2051 Naskapi Drive, Gloucester","2051, promenade Naskapi, Gloucester",Passive Recreation,Loisirs passifs,1,1,no/non,11,Beacon Hill-Cyrville,Beacon Hill-Cyrville,9,no/non,,45.44878395,-75.59822071,R-PKS-014-0643,1668472387000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1417.651765142036,24194.04663188,643,Greenspace,Espace vert
27,1051,Raphael Brunet Park,Parc Raphael-Brunet,"307 St. Patrick Street, Ottawa","307, rue St-Patrick, Ottawa",Passive Recreation,Loisirs passifs,3,3,no/non,12,Rideau-Vanier,Rideau-Vanier,0,no/non,,45.43186893,-75.69103096,R-PKS-018-0771,1668472217000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,194.38798748543496,870.019947415,771,Urban Plaza,Place urbaine
28,942,Lindenlea Park,Parc Lindenlea,"15 Rockcliffe Way, Ottawa","15, voie Rockcliffe, Ottawa",Active Recreation,Loisirs dynamiques,3,3,no/non,13,Rideau-Rockcliffe,Rideau-Rockcliffe,0,no/non,,45.44454337,-75.67527037,R-PKS-012-0538,1668470876000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,1049.354328215968,9083.60977261,538,Parkette,Miniparc
29,1084,Tanmount Park,Parc Tanmount,"283 Goldridge Drive, Kanata","283, promenade Goldridge, Kanata",Active Recreation,Loisirs dynamiques,1,1,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.31784761,-75.92675511,R-PKS-020-0920,1668471808000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,522.8152444405488,4148.444183325,920,Parkette,Miniparc
30,995,Sue Nickerson Park,Parc Sue-Nickerson,"88 Knudson Drive, Kanata","88, promenade Knudson, Kanata",Active Recreation,Loisirs dynamiques,1,1,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.31931538,-75.90681589,R-PKS-019-0910,1668471685000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,991.7633460098281,13995.9424167,910,Neighbourhood Park,Parc de quartier
31,484,Kemp Park,Parc Kemp,"11 Robert Kemp Street, Gloucester","11, rue Robert-Kemp, Gloucester",Active Recreation,Loisirs dynamiques,4,4,no/non,10,Gloucester-Southgate,Gloucester-Southgate,0,no/non,,45.33659837,-75.6062539,R-PKS-011-0487,1668470832000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,548.6708467974981,7256.634639535,487,Parkette,Miniparc
32,2483,Stormwater Management Area,Aire de gestion des eaux pluviales,900 Lakeridge Drive ,,Passive Recreation,Loisirs passifs,4,4,yes/oui,19,Orléans South-Navan,Orléans-Sud-Navan,8,no/non,,45.44336251,-75.47066781,,1668470884000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,2153.6531574525416,136646.58594584,,Greenspace,Espace vert
33,2464,Boisdale Park,Parc Boisdale,"210 Émerillon Ridge, Cumberland","210, côte de l'Émerillon, Cumberland",Active Recreation,Loisirs passifs,4,4,no/non,19,Orléans South-Navan,Orléans-Sud-Navan,0,yes/oui,,45.44851895,-75.46453896,R-PKS-005-1220,1668472107000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,696.1819205453234,12847.30505981,1220,Neighbourhood Park,Parc de quartier
34,753,Marcel Lalande Park,Parc Marcel-Lalande,"2157 Northlands Drive, Cumberland","2157, promenade Northlands, Cumberland",Active Recreation,Loisirs dynamiques,1,1,no/non,1,Orléans East-Cumberland,Orléans-Est-Cumberland,0,no/non,,45.47103195,-75.47354725,R-PKS-013-0576,1668471278000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,2255.817530864268,49901.99672121,576,Community Park,Parc communautaire
35,2119,Spratt Park,Parc Spratt,"4191 Spratt Road, Gloucester","4191, chemin Spratt, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,22,Riverside South-Findlay Creek,Riverside-Sud-Findlay Creek,0,no/non,,45.27993907,-75.68558059,R-PKS-019-0879,1668470836000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1138.7898858723177,22478.788184135,879,Neighbourhood Park,Parc de quartier
36,1960,Provence Park,Parc Provence,"2095 Provence Avenue, Cumberland","2095, avenue Provence, Cumberland",Active Recreation,Loisirs dynamiques,4,4,no/non,19,Orléans South-Navan,Orléans-Sud-Navan,0,yes/oui,,45.46112248,-75.45612013,R-PKS-016-0759,1684496139000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,1198.9719977896993,39068.37173513,759,Community Park,Parc communautaire
37,1509,Ruisseau Park,Parc Ruisseau,6116 Creek Crossing Street,"6116, rue Creek Crossing",Active Recreation,Loisirs dynamiques,1,1,no/non,19,Orléans South-Navan,Orléans-Sud-Navan,0,no/non,,45.43507051,-75.52492182,R-PKS-018-0838,1668471023000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,535.1927822949726,6179.88009664,838,Parkette,Miniparc
38,2416,Patterson's Creek Park,Parc Patterson's Creek,"524 O'Connor Street, Ottawa","524, rue O'Connor, Ottawa",Passive Recreation,Loisirs passifs,2,2,yes/oui,17,Capital,Capitale,0,no/non,,45.40655909,-75.68728485,R-PKS-016-1211,1668472140000,,"Dogs on leash between Glebe Avenue and Clemow Avenue noon to 4 pm, seven days a week, April 1 to October 31.","Chiens en laisse entre l'avenue Glebe et l’avenue Clemow du 1er avril au 31 octobre, tous les jours de la semaine de midi à 16 h.",619.2796219586293,8018.54253423,1211,Parkette,Miniparc
39,87,Lytle Park (Kanata),Parc Lytle (Kanata),"1010 Beaverbrook Road, Kanata","1010, chemin Beaverbrook, Kanata",Passive Recreation,Loisirs passifs,1,1,yes/oui,4,Kanata North,Kanata-Nord,0,no/non,,45.32838637,-75.90438423,R-PKS-012-0562,1668471029000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,780.445547185222,5451.604275865,562,Linear Park,Parc linéaire
40,129,Borduas Court Parkette,Mini-parc de la cour Borduas,"8 Borduas Court, Kanata","8, cour Borduas, Kanata",Passive Recreation,Loisirs passifs,1,1,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.32817395,-75.91041368,R-PKS-002-0111,1668470991000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,310.8082224529248,2832.922420935,111,Urban Parkette,Miniparc urbain
41,545,Forest Creek Park,Parc Forest Creek,"21 Amy Street, Goulbourn","21, rue Amy, Goulbourn",Active Recreation,Loisirs dynamiques,1,1,no/non,6,Stittsville,Stittsville,0,no/non,,45.26877692,-75.90959381,R-PKS-006-0323,1668471664000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,245.0152125794292,1330.3846268250002,323,Urban Plaza,Place urbaine
42,1030,Amberwood Pathway,Sentier Amberwood,"72 Trailway Circle, Goulbourn","72, cercle Trailway, Goulbourn",Passive Recreation,Loisirs passifs,0,0,no/non,6,Stittsville,Stittsville,0,no/non,,45.26684447,-75.91525929,R-PKS-001-0023,1668471102000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,2236.328655068119,17271.1196079,23,Linear Park,Parc linéaire
