APPLICATION_NUMBER,APPLICATION_DATE,APPLICATION_TYPE,STATUS,STATUS_DATE,ADDRESS,WARD,LATITUDE,LONGITUDE,IS_ACTIVE,IS_APPROVED
D07-12-16-0045           ,2016-04-12,Site Plan Control        ,Application File Pending,2016-06-14,261 KING EDWARD,Ward 12                            ,45.431497,-75.68763,1,0
D07-12-16-0045           ,2016-04-12,Site Plan Control        ,Application File Pending,2016-06-14,261 KING EDWARD,Ward 12                            ,45.43194,-75.687776,1,0
D02-02-16-0097           ,2016-11-10,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-10,5618 HAZELDEAN,Ward 6                             ,45.280837,-75.90101299999999,0,1
D02-02-16-0090           ,2016-10-24,Zoning By-law Amendment  ,Application Approved by Council,2017-05-10,141 GEORGE,Ward 12                            ,45.428461,-75.689864,0,1
D02-02-16-0114           ,2016-12-22,Zoning By-law Amendment  ,Application File Pending,2017-03-17,457 TERRY FOX,Ward 4                             ,45.326257,-75.946851,1,0
D07-12-15-0079           ,2015-04-23,Site Plan Control        ,Application File Pending,2015-07-20,1125 COLONEL BY,Ward 17                            ,45.38529,-75.69809099999999,1,0
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,71 BARRETTE,Ward 12                            ,45.440273,-75.674448,0,1
D07-16-20-0019           ,2020-08-05,Plan of Subdivision      ,Draft Approval Revised/Extended,2021-01-20,4798 BANK,Ward 22                            ,45.313100000000006,-75.592049,0,0
D02-02-20-0068           ,2020-08-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-01-04,1560 SCOTT,Ward 15                            ,45.403037999999995,-75.73309499999999,0,1
D07-12-20-0102           ,2020-08-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-05-14,3831 CAMBRIAN,Ward 3                             ,45.247971,-75.746043,0,1
D07-12-20-0106           ,2020-08-11,Site Plan Control        ,Application Approved,2022-04-06,52 GARLAND,Ward 15                            ,45.406237999999995,-75.724096,0,1
D07-16-20-0021           ,2020-08-17,Plan of Subdivision      ,Agreement Registered - Securities Held,2024-01-12,3305 BORRISOKANE,Ward 3                             ,45.256493,-75.756644,0,1
D07-16-20-0021           ,2020-08-17,Plan of Subdivision      ,Agreement Registered - Securities Held,2024-01-12,3285 BORRISOKANE,Ward 3                             ,45.256206999999996,-75.763829,0,1
D02-02-20-0058           ,2020-07-15,Zoning By-law Amendment  ,Application File Pending,2020-09-08,231 PENFIELD,Ward 4                             ,45.331022,-75.899418,1,0
D07-12-20-0097           ,2020-07-20,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-02-16,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-20-0097           ,2020-07-20,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-02-16,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-20-0097           ,2020-07-20,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-02-16,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-20-0097           ,2020-07-20,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-02-16,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D02-02-20-0059           ,2020-07-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-03-22,300 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-16-20-0017           ,2020-07-28,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-01-09,1401 HENRI LAUZON,Ward 2                             ,45.463879999999996,-75.53623499999999,0,1
D07-16-20-0018           ,2020-07-30,Plan of Subdivision      ,Agreement Registered - Final Legal Clearance Given,2025-01-24,4775 SPRATT,Ward 22                            ,45.267741,-75.675193,0,1
D02-02-20-0065           ,2020-07-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-02-17,284 KING EDWARD,Ward 12                            ,45.430924,-75.688,0,1
D02-02-20-0113           ,2020-11-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-05-11,250 CITY CENTRE,Ward 14                            ,45.408389,-75.71834,0,1
D07-12-20-0135           ,2020-10-19,Site Plan Control        ,,2022-02-02,581 SOMME,Ward 20                            ,45.303843,-75.54791,0,0
D07-12-20-0145           ,2020-11-10,Site Plan Control        ,Receipt of Agreement from Owner Pending,2022-03-18,300 LISGAR,Ward 14                            ,45.416869999999996,-75.69644199999999,0,0
D02-02-20-0090           ,2020-09-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-01-04,2415 RICHARDSON SIDE,Ward 5                             ,45.288019,-75.985997,0,1
D02-02-20-0093           ,2020-09-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-10-04,2211 RIVERSIDE,Ward 17                            ,45.388276,-75.67768199999999,0,1
D02-02-20-0095           ,2020-09-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-06-21,1707 FISHER,Ward 16                            ,45.356809,-75.707616,0,1
D01-01-20-0017           ,2020-09-30,Official Plan Amendment  ,Second By-law in Effect,2023-06-19,1330 BANK,Ward 17                            ,45.388462,-75.67732199999999,0,0
D07-12-20-0113           ,2020-08-24,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2021-11-08,144 BENTLEY,Ward 9                             ,45.335586,-75.70937599999999,0,1
D01-01-20-0014           ,2020-08-26,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2021-08-17,1335 BANK,Ward 18                            ,45.388811,-75.676715,0,1
D02-02-20-0080           ,2020-08-28,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-23,389 ROOSEVELT,Ward 15                            ,45.391189999999995,-75.75701099999999,0,1
D02-02-20-0081           ,2020-08-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-05-11,4639 BANK,Ward 22                            ,45.326769999999996,-75.59664599999999,0,1
D02-02-20-0082           ,2020-08-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-02-22,1258 MARENGER,Ward 1                             ,45.463757,-75.542982,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,77 BARRETTE,Ward 12                            ,45.440273,-75.674448,0,1
D07-12-20-0118           ,2020-09-04,Site Plan Control        ,OMB Pre-Hearing Held,2025-10-23,200 BARIBEAU,Ward 12                            ,45.438099,-75.667919,0,0
D07-12-20-0061           ,2020-05-13,Site Plan Control        ,Agreement Registered - Securities Held,2025-08-24,1040 BANK,Ward 17                            ,45.395525,-75.684817,0,1
D07-12-20-0063           ,2020-05-19,Site Plan Control        ,Request for Agreement Received,2022-06-09,1330 CARLING,Ward 16                            ,45.385162,-75.735434,1,0
D07-12-20-0067           ,2020-05-28,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-02-22,300 SOMME,Ward 20                            ,45.304469999999995,-75.547005,0,1
D07-16-20-0012           ,2020-04-24,Plan of Subdivision      ,Draft Approved,2021-07-14,1869 MAPLE GROVE,Ward 6                             ,45.28499,-75.92745099999999,0,1
D02-02-20-0033           ,2020-04-29,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-04-14,1705 CARLING,Ward 15                            ,45.379056,-75.751981,0,1
D02-02-20-0033           ,2020-04-29,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-04-14,1705 CARLING,Ward 15                            ,45.379056,-75.751981,0,1
D07-12-20-0048           ,2020-04-29,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-12-14,1705 CARLING,Ward 15                            ,45.379056,-75.751981,0,1
D07-12-20-0054           ,2020-05-04,Site Plan Control        ,Receipt of Agreement from Owner Pending,2021-08-11,5506 MANOTICK MAIN,Ward 21                            ,45.226611999999996,-75.687427,0,0
D02-02-20-0034           ,2020-05-06,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-07-25,297 ASHTON,Ward 15                            ,45.395005,-75.75358299999999,0,1
D02-02-20-0034           ,2020-05-06,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-07-25,2050 SCOTT,Ward 15                            ,45.395213,-75.753804,0,1
D07-12-20-0069           ,2020-06-02,Site Plan Control        ,Request for Agreement Received,2023-02-23,455 MCARTHUR,Ward 13                            ,45.432738,-75.64385,1,0
D02-02-20-0043           ,2020-06-03,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-07-14,180 METCALFE,Ward 14                            ,45.418593,-75.694315,0,1
D07-12-20-0060           ,2020-05-11,Site Plan Control        ,Initial Review Comments Sent,2020-08-21,1050 HUNT CLUB,Ward 10                            ,45.349191,-75.655693,0,0
D02-02-20-0044           ,2020-06-08,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,2 MONTREAL; CH DE,Ward 12                            ,45.432823,-75.669276,0,1
D07-12-20-0077           ,2020-06-08,Site Plan Control        ,Signed Letter of Undertaking Received,2021-11-03,555 ALBERT,Ward 14                            ,45.415383,-75.70988899999999,0,0
D07-12-20-0090           ,2020-07-03,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2023-04-21,179 ARMSTRONG,Ward 15                            ,45.402913,-75.727701,0,1
D02-02-20-0052           ,2020-07-03,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-06-21,177 ARMSTRONG,Ward 15                            ,45.403174,-75.72777099999999,0,1
D07-12-20-0091           ,2020-07-03,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2022-05-24,353 GARDNER,Ward 12                            ,45.431283,-75.664399,0,1
D07-12-20-0041           ,2020-04-16,Site Plan Control        ,Notice of Decision Sent,2024-04-25,2583 BOND,Ward 7                             ,45.363582,-75.78853099999999,0,1
D02-02-20-0029           ,2020-04-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-05-18,2589 BOND,Ward 7                             ,45.363582,-75.78853099999999,0,1
D02-02-20-0051           ,2020-07-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-05-10,353 GARDNER,Ward 12                            ,45.431283,-75.664399,0,1
D02-02-20-0051           ,2020-07-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-05-10,357 GARDNER,Ward 12                            ,45.431283,-75.664399,0,1
D02-02-20-0047           ,2020-06-22,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-25,3713 BORRISOKANE,Ward 21                            ,45.238839999999996,-75.752752,0,1
D07-12-20-0085           ,2020-06-24,Site Plan Control        ,Request for Agreement Received,2021-12-16,2487 INNES,Ward 2                             ,45.429590999999995,-75.57094099999999,1,0
D01-01-20-0010           ,2020-06-24,Official Plan Amendment  ,Application File Pending,2022-09-19,550 ALBERT,Ward 14                            ,45.415077,-75.709366,1,0
D07-16-20-0016           ,2020-07-07,Plan of Subdivision      ,No Appeal,2022-12-21,6295 PERTH,Ward 21                            ,45.191055999999996,-75.84854399999999,0,0
D02-02-20-0054           ,2020-07-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-04-03,6173 RENAUD,Ward 19                            ,45.431238,-75.514806,0,1
D07-12-20-0081           ,2020-06-17,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-10-22,381 CHURCHILL,Ward 15                            ,45.392717999999995,-75.753793,0,1
D02-02-20-0045           ,2020-06-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-04,327 RICHMOND,Ward 15                            ,45.392415,-75.753726,0,1
D02-02-20-0046           ,2020-06-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-05-11,1010 BYRON,Ward 7                             ,45.378555999999996,-75.772661,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,90 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,86 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,88 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,90 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,78 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,84 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,86 BEECHWOOD,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,81 BARRETTE,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,85 BARRETTE,Ward 12                            ,45.440273,-75.674448,0,1
D02-02-22-0041           ,2022-04-29,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-07,665 ALBERT,Ward 14                            ,45.414055999999995,-75.711204,0,1
D07-12-22-0072           ,2022-05-02,Site Plan Control        ,Notice of Decision Sent,2023-08-21,216 MCARTHUR,Ward 12                            ,45.431053999999996,-75.660929,0,1
D02-02-22-0045           ,2022-05-06,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-08-05,6199 DWYER HILL,Ward 21                            ,45.062616999999996,-75.894818,0,1
D02-02-22-0046           ,2022-05-13,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-08,1248 WELLINGTON,Ward 15                            ,45.399307,-75.732624,0,1
D02-02-22-0046           ,2022-05-13,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-08,1251 WELLINGTON,Ward 15                            ,45.399775,-75.732778,0,1
D07-12-22-0082           ,2022-05-16,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-07-23,70 RICHMOND,Ward 15                            ,45.396806,-75.742273,0,1
D02-02-22-0047           ,2022-05-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-09-27,30 CHAMBERLAIN,Ward 17                            ,45.407534999999996,-75.692765,0,1
D02-02-22-0047           ,2022-05-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-09-27,42 CHAMBERLAIN,Ward 17                            ,45.40737,-75.693169,0,1
D02-02-22-0049           ,2022-05-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-01-08,780 BASELINE,Ward 9                             ,45.370611,-75.71713799999999,0,1
D07-12-22-0084           ,2022-05-20,Site Plan Control        ,Agreement Registered - Securities Held,2025-01-17,1600 JAMES NAISMITH,Ward 11                            ,45.429643,-75.608153,0,1
D01-01-22-0004           ,2022-03-24,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2024-08-07,70 WOODRIDGE,Ward 7                             ,45.34627,-75.813203,0,1
D07-12-22-0054           ,2022-04-01,Site Plan Control        ,Receipt of Agreement from Owner Pending,2023-05-15,68 HAWKTREE,Ward 3                             ,45.252559999999995,-75.720805,0,0
,,,,,2564 TENTH LINE,,45.440846,-75.479148,0,0
D02-02-22-0029           ,2022-04-05,Zoning By-law Amendment  ,Application File Pending,2025-05-13,2345 MER-BLEUE; CH DE LA,Ward 19                            ,45.44037,-75.494854,1,0
D07-12-25-0106           ,2025-07-30,Site Plan Control        ,On Circulation; Initial Submission Review,2025-12-03,1 CENTREPOINTE,Ward 8                             ,45.349061,-75.76776199999999,1,0
D02-02-21-0046           ,2021-05-25,Zoning By-law Amendment  ,Application File Pending,2025-08-15,3828 INNES,Ward 19                            ,45.450624,-75.51387199999999,1,0
D07-12-21-0071           ,2021-05-25,Site Plan Control        ,Notice of Decision Sent,2022-06-20,19 CENTREPOINTE,Ward 8                             ,45.347657999999996,-75.76747,0,1
D07-16-21-0015           ,2021-05-25,Plan of Subdivision      ,Application File Pending,2025-08-15,3828 INNES,Ward 19                            ,45.45113,-75.51193599999999,1,0
D02-02-21-0049           ,2021-05-28,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2022-11-08,142 NEPEAN,Ward 14                            ,45.417750999999996,-75.696349,0,1
D07-12-21-0076           ,2021-05-28,Site Plan Control        ,Receipt of Agreement from Owner Pending,2025-01-15,142 NEPEAN,Ward 14                            ,45.417750999999996,-75.696349,0,0
D07-16-21-0016           ,2021-05-31,Plan of Subdivision      ,Draft Approval Revised/Extended,2022-06-27,1520 OLD PRESCOTT,Ward 20                            ,45.250488999999995,-75.575251,0,0
D07-12-21-0079           ,2021-06-03,Site Plan Control        ,Resubmission Received,2021-08-11,99 BILL LEATHEM,Ward 24                            ,45.298856,-75.712391,0,0
D02-02-21-0053           ,2021-06-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-12-08,2865 RIVERSIDE,Ward 16                            ,45.369616,-75.68909099999999,0,1
D02-02-21-0052           ,2021-06-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-05-11,1180 8TH LINE,Ward 20                            ,45.298002,-75.507817,0,1
D07-12-21-0125           ,2021-08-17,Site Plan Control        ,Application Reactivated,2023-03-17,155 IBER,Ward 6                             ,45.274918,-75.901699,1,0
D02-02-20-0124           ,2020-12-07,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2022-11-01,6301 CAMPEAU,Ward 4                             ,45.314782,-75.905487,0,1
D07-16-20-0031           ,2020-12-08,Plan of Subdivision      ,Agreement Registered - Securities Held,2023-02-16,2980 NAVAN,Ward 19                            ,45.431306,-75.52296199999999,0,1
D07-12-20-0173           ,2020-12-09,Site Plan Control        ,Draft Report Sent for Response,2025-06-26,2742 DUNROBIN,Ward 5                             ,45.421623,-76.01837499999999,0,0
D07-16-20-0032           ,2020-12-09,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-04-10,521 BRIGATINE,Ward 6                             ,45.28791,-75.913774,0,1
D01-01-20-0028           ,2020-12-23,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2021-11-15,320 LEES,Ward 12                            ,45.41876,-75.67132099999999,0,1
D07-12-21-0014           ,2021-01-29,Site Plan Control        ,Request for Agreement Received,2023-03-28,320 CLIFTON,Ward 15                            ,45.396547,-75.749186,1,0
D07-12-21-0016           ,2021-02-02,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2021-08-09,100 LEGACY,Ward 10                            ,45.383559999999996,-75.61106199999999,0,1
D07-16-21-0003           ,2021-02-11,Plan of Subdivision      ,Agreement Registered - Securities Held,2024-08-14,6015 FERNBANK,Ward 6                             ,45.254566,-75.90270799999999,0,1
D02-02-21-0012           ,2021-02-11,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-04-26,6021 FERNBANK,Ward 6                             ,45.254566,-75.90270799999999,0,1
D07-12-20-0055           ,2020-05-06,Site Plan Control        ,Application Approved,2021-11-08,147 FORWARD,Ward 15                            ,45.407888,-75.731724,0,1
D07-12-21-0019           ,2021-02-12,Site Plan Control        ,Approval Package Accepted,2021-04-21,50 STONEHAVEN,Ward 23                            ,45.291619999999995,-75.860978,0,0
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0071           ,2022-04-27,Site Plan Control        ,Agreement Registered - Securities Held,2024-10-09,315 MIWATE,Ward 14                            ,45.418963,-75.717632,0,1
D07-12-22-0069           ,2022-04-26,Site Plan Control        ,Agreement Registered - Securities Held,2025-02-20,665 ALBERT,Ward 14                            ,45.413706999999995,-75.711722,0,1
D02-02-22-0041           ,2022-04-29,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-07,665 ALBERT,Ward 14                            ,45.413295,-75.712619,0,1
D07-12-17-0171           ,2017-12-20,Site Plan Control        ,Agreement Registered - Securities Held,2022-10-21,402 ROOSEVELT,Ward 15                            ,45.390902999999994,-75.75753399999999,0,1
D02-02-17-0125           ,2017-12-20,Zoning By-law Amendment  ,Application Approved by OMB,2021-04-06,406 ROOSEVELT,Ward 15                            ,45.390902999999994,-75.75753399999999,0,1
D02-02-17-0129           ,2017-12-21,Zoning By-law Amendment  ,Application File Pending,2018-10-01,1869 TRIM,Ward 1                             ,45.474623,-75.456786,1,0
D07-12-18-0009           ,2018-01-29,Site Plan Control        ,Application Reactivated,2025-10-20,6175 ROCKDALE,Ward 20                            ,45.340112999999995,-75.343863,1,0
D07-12-18-0044           ,2018-03-27,Site Plan Control        ,Comment Period in Progress,2018-04-17,83 HINTON,Ward 15                            ,45.401135,-75.731259,1,0
D02-02-18-0021           ,2018-03-19,Zoning By-law Amendment  ,Application Approved in part by OMB,2024-10-09,1176 OLD MONTREAL,Ward 1                             ,45.492109,-75.46432399999999,0,1
D07-16-17-0033           ,2017-12-15,Plan of Subdivision      ,Application File Pending,2018-05-09,810 CEDARVIEW,Ward 3                             ,45.293983999999995,-75.789468,1,0
D07-12-18-0031           ,2018-03-06,Site Plan Control        ,Comment Period in Progress,2018-04-05,212 PRINCE ALBERT,Ward 13                            ,45.424197,-75.654309,1,0
D07-12-18-0031           ,2018-03-06,Site Plan Control        ,Comment Period in Progress,2018-04-05,214 PRINCE ALBERT,Ward 13                            ,45.424203999999996,-75.654212,1,0
D02-02-20-0086           ,2020-09-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-12-06,182 ISABELLA,Ward 17                            ,45.408939,-75.69035099999999,0,1
D02-02-20-0087           ,2020-09-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-12-12,1009 TRIM,Ward 1                             ,45.50116,-75.484104,0,1
D02-02-20-0089           ,2020-09-23,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-07-05,324 CLIFTON,Ward 15                            ,45.396423,-75.749095,0,1
D02-02-20-0089           ,2020-09-23,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-07-05,332 CLIFTON,Ward 15                            ,45.396172,-75.748947,0,1
D02-02-20-0066           ,2020-07-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,87 BARRETTE,Ward 12                            ,45.440273,-75.674448,0,1
D07-12-21-0004           ,2021-01-11,Site Plan Control        ,Application File Pending,2023-01-03,2822 CARP,Ward 5                             ,45.306940999999995,-75.987357,1,0
D02-02-21-0004           ,2021-01-19,Zoning By-law Amendment  ,OMB Appeal Withdrawn - Application Approved,2021-09-24,166 HURON,Ward 15                            ,45.398862,-75.732936,0,1
D02-02-20-0118           ,2020-11-20,Zoning By-law Amendment  ,Application File Pending,2021-10-06,6038 OTTAWA,Ward 21                            ,45.183399,-75.82003499999999,1,0
D02-02-21-0007           ,2021-01-27,Zoning By-law Amendment  ,Zoning By-law in Effect,2021-08-09,1277 WOODROFFE,Ward 8                             ,45.35411,-75.763882,0,1
D01-01-21-0004           ,2021-03-24,Official Plan Amendment  ,Second By-law in Effect,2023-06-19,234 O'CONNOR,Ward 14                            ,45.416472999999996,-75.694924,0,0
D02-02-21-0024           ,2021-03-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-07-20,234 O'CONNOR,Ward 14                            ,45.416472999999996,-75.694924,0,1
D07-12-21-0036           ,2021-03-17,Site Plan Control        ,Approval Lapsed - No Building Permit Issued,2025-08-18,2935 CONROY,Ward 10                            ,45.382954999999995,-75.627811,0,0
